# Force-replace these first (same format as kannada-translations.txt). UTF-8.
baking soda|ಬೇಕಿಂಗ್ ಸೋಡಾ
Positive (+)|ಧನ (+)
POSITIVE (+)|ಧನ (+)
ELECTRIC CELL|ವಿದ್ಯುತ್ ಘಟಕ
CONDUCTORS|ವಾಹಕಗಳು
INSULATORS|ವಿದ್ಯುತ್ ನಿರೋಧಕಗಳು
switch|ಸ್ವಿಚ್
Switch|ಸ್ವಿಚ್
Battery|ಬ್ಯಾಟರಿ
negative (-)|ಋಣ (-)
negative (−)|ಋಣ (−)
source|ಮೂಲ
non-metals|ಅಲೋಹಗಳು
Electrical conductivity|ವಿದ್ಯುತ್ ವಾಹಕತೆ
basic|ಮೂಲ
Basic|ಮೂಲ
liquid|ದ್ರವ
conduction|ವಾಹಕತೆ
convection currents|ಸಂವಹನ ಪ್ರವಾಹಗಳು
Dark colors absorb|ಗಾಢ ಬಣ್ಣಗಳು ಹೀರಿಕೊಳ್ಳುತ್ತವೆ
Light colors reflect|ಒಳ್ಳೆ ಬಣ್ಣಗಳು ಪ್ರತಿಫಲಿಸುತ್ತವೆ
ODOMETER|ಓಡೋಮೀಟರ್
speed|ವೇಗ
uniform linear motion|ಸಮ ರೇಖೀಯ ಚಲನೆ
non-uniform motion|ಅಸಮ ಚಲನೆ
healthy habits|ಆರೋಗ್ಯಕರ ಅಭ್ಯಾಸಗಳು
Growth Spurt|ವೃದ್ಧಿ ಚಿಗಿತ
equator|ವಿಷುವದ್ರೇಖೆ
reactions|ಪ್ರತಿಕ್ರಿಯೆಗಳು
• Chemical reactions|• ರಾಸಾಯನಿಕ ಪ್ರತಿಕ್ರಿಯೆಗಳು
NaHCO3 + CH3COOH → CO2 + H2O + CH3COONa|ಸೋಡಿಯಂ ಬೈಕಾರ್ಬನೇಟ್ + ಅಸಿಟಿಕ್ ಆಮ್ಲ → CO2 + ನೀರು + ಸೋಡಿಯಂ ಅಸಿಟೇಟ್
NaHCO₃ + CH₃COOH → CO₂ + H₂O + CH₃COONa|ಸೋಡಿಯಂ ಬೈಕಾರ್ಬನೇಟ್ + ಅಸಿಟಿಕ್ ಆಮ್ಲ → CO₂ + ನೀರು + ಸೋಡಿಯಂ ಅಸಿಟೇಟ್
inside a glass bulb. When electric current passes through the filament, it gets very hot (about 2500°C) and glows, producing light.|ಗಾಜಿನ ಬಲ್ಬ್ ಒಳಗೆ. ವಿದ್ಯುತ್ ಪ್ರವಾಹ ಫಿಲಾಮೆಂಟ್ ಮೂಲಕ ಹರಿಯುವಾಗ, ಅದು ಬಹಳ ಬಿಸಿಯಾಗುತ್ತದೆ (ಸುಮಾರು 2500°C) ಮತ್ತು ಬೆಳಗುತ್ತದೆ, ಬೆಳಕನ್ನು ಉತ್ಪಾದಿಸುತ್ತದೆ.
inside a glass bulb. When electric current passes through the à²«à²¿à²²à²¾à²®à³†à²‚à²Ÿà³‚, it gets very hot (about 2500°C) and glows, producing light.|ಗಾಜಿನ ಬಲ್ಬ್ ಒಳಗೆ. ವಿದ್ಯುತ್ ಪ್ರವಾಹ ಫಿಲಾಮೆಂಟ್ ಮೂಲಕ ಹರಿಯುವಾಗ, ಅದು ಬಹಳ ಬಿಸಿಯಾಗುತ್ತದೆ (ಸುಮಾರು 2500°C) ಮತ್ತು ಬೆಳಗುತ್ತದೆ, ಬೆಳಕನ್ನು ಉತ್ಪಾದಿಸುತ್ತದೆ.
Oxygen|ಆಮ್ಲಜನಕ
Oxide (white ash)|ಆಕ್ಸೈಡ್ (ಬಿಳಿ ಬೂದಿ)
Dioxide (pungent gas)|ಡೈಆಕ್ಸೈಡ್ (ಕಟುವಾದ ಅನಿಲ)
consumed|ಬಳಸಲಾಗಿದೆ
 and | ಮತ್ತು 
